Aurora,ID7000,Discover,Opteon
UV1-A,320CH1-A,UV1 (375)-A,UV380-A
UV2-A,320CH2-A,UV2 (390)-A,UV424-A
UV3-A,320CH3-A,UV3 (420)-A,UV440-A
UV4-A,320CH4-A,UV4 (440)-A,UV455-A
UV5-A,320CH5-A,UV5 (460)-A,UV469-A
UV6-A,320CH6-A,UV6 (475)-A,UV508-A
UV7-A,320CH7-A,UV7 (500)-A,UV525-A
UV8-A,320CH8-A,UV8 (515)-A,UV543-A
UV9-A,320CH9-A,UV9 (530)-A,UV582-A
UV10-A,320CH10-A,UV10 (545)-A,UV600-A
UV11-A,320CH11-A,UV11 (575)-A,UV618-A
UV12-A,320CH12-A,UV12 (590)-A,UV661-A
UV13-A,320CH13-A,UV13 (605)-A,UV681-A
UV14-A,320CH14-A,UV14 (625)-A,UV700-A
UV15-A,320CH15-A,UV15 (655)-A,UV717-A
UV16-A,320CH16-A,UV16 (675)-A,UV735-A
V1-A,320CH17-A,UV17 (700)-A,UV757-A
V2-A,320CH18-A,UV18 (725)-A,UV784-A
V3-A,320CH19-A,UV19 (750)-A,UV815-A
V4-A,320CH20-A,UV20 (780)-A,V424-A
V5-A,320CH21-A,UV21 (810)-A,V440-A
V6-A,320CH22-A,UV22 (845)-A,V455-A
V7-A,320CH23-A,V1 (420)-A,V469-A
V8-A,320CH24-A,V2 (440)-A,V508-A
V9-A,320CH25-A,V3 (460)-A,V525-A
V10-A,320CH26-A,V4 (475)-A,V543-A
V11-A,320CH27-A,V5 (500)-A,V582-A
V12-A,320CH28-A,V6 (515)-A,V600-A
V13-A,320CH29-A,V7 (530)-A,V618-A
V14-A,320CH30-A,V8 (545)-A,V661-A
V15-A,320CH31-A,V9 (575)-A,V681-A
V16-A,320CH32-A,V10 (590)-A,V700-A
B1-A,320CH33-A,V11 (605)-A,V717-A
B2-A,320CH34-A,V12 (625)-A,V735-A
B3-A,320CH35-A,V13 (655)-A,V757-A
B4-A,355CH1-A,V14 (675)-A,V784-A
B5-A,355CH2-A,V15 (700)-A,V815-A
B6-A,355CH3-A,V16 (725)-A,B508-A
B7-A,355CH4-A,V17 (750)-A,B525-A
B8-A,355CH5-A,V18 (780)-A,B543-A
B9-A,355CH6-A,V19 (810)-A,B582-A
B10-A,355CH7-A,V20 (845)-A,B600-A
B11-A,355CH8-A,B1 (500)-A,B618-A
B12-A,355CH9-A,B2 (515)-A,B661-A
B13-A,355CH10-A,B3 (530)-A,B681-A
B14-A,355CH11-A,B4 (545)-A,B700-A
YG1-A,355CH12-A,B5 (575)-A,B717-A
YG2-A,355CH13-A,B6 (590)-A,B735-A
YG3-A,355CH14-A,B7 (605)-A,B757-A
YG4-A,355CH15-A,B8 (625)-A,B784-A
YG5-A,355CH16-A,B9 (655)-A,B815-A
YG6-A,355CH17-A,B10 (675)-A,Y582-A
YG7-A,355CH18-A,B11 (700)-A,Y600-A
YG8-A,355CH19-A,B12 (725)-A,Y618-A
YG9-A,355CH20-A,B13 (750)-A,Y661-A
YG10-A,355CH21-A,B14 (780)-A,Y681-A
R1-A,355CH22-A,B15 (810)-A,Y700-A
R2-A,355CH23-A,B16 (845)-A,Y717-A
R3-A,355CH24-A,YG1 (575)-A,Y735-A
R4-A,355CH25-A,YG2 (590)-A,Y757-A
R5-A,355CH26-A,YG3 (605)-A,Y784-A
R6-A,355CH27-A,YG4 (625)-A,Y815-A
R7-A,355CH28-A,YG5 (655)-A,R661-A
R8-A,355CH29-A,YG6 (675)-A,R681-A
,355CH30-A,YG7 (700)-A,R700-A
,355CH31-A,YG8 (725)-A,R717-A
,355CH32-A,YG9 (750)-A,R735-A
,355CH33-A,YG10 (780)-A,R757-A
,355CH34-A,YG11 (810)-A,R784-A
,355CH35-A,YG12 (845)-A,R815-A
,405CH1-A,R1 (655)-A,
,405CH2-A,R2 (675)-A,
,405CH3-A,R3 (700)-A,
,405CH4-A,R4 (725)-A,
,405CH5-A,R5 (750)-A,
,405CH6-A,R6 (780)-A,
,405CH7-A,R7 (810)-A,
,405CH8-A,R8 (845)-A,
,405CH9-A,,
,405CH10-A,,
,405CH11-A,,
,405CH12-A,,
,405CH13-A,,
,405CH14-A,,
,405CH15-A,,
,405CH16-A,,
,405CH17-A,,
,405CH18-A,,
,405CH19-A,,
,405CH20-A,,
,405CH21-A,,
,405CH22-A,,
,405CH23-A,,
,405CH24-A,,
,405CH25-A,,
,405CH26-A,,
,405CH27-A,,
,405CH28-A,,
,405CH29-A,,
,405CH30-A,,
,405CH31-A,,
,405CH32-A,,
,405CH33-A,,
,405CH34-A,,
,405CH35-A,,
,488CH4-A,,
,488CH5-A,,
,488CH6-A,,
,488CH7-A,,
,488CH8-A,,
,488CH9-A,,
,488CH10-A,,
,488CH11-A,,
,488CH12-A,,
,488CH13-A,,
,488CH14-A,,
,488CH15-A,,
,488CH16-A,,
,488CH17-A,,
,488CH18-A,,
,488CH19-A,,
,488CH20-A,,
,488CH21-A,,
,488CH22-A,,
,488CH23-A,,
,488CH24-A,,
,488CH25-A,,
,488CH26-A,,
,488CH27-A,,
,488CH28-A,,
,488CH29-A,,
,488CH30-A,,
,488CH31-A,,
,488CH32-A,,
,488CH33-A,,
,488CH34-A,,
,488CH35-A,,
,561CH10-A,,
,561CH11-A,,
,561CH12-A,,
,561CH13-A,,
,561CH14-A,,
,561CH15-A,,
,561CH16-A,,
,561CH17-A,,
,561CH18-A,,
,561CH19-A,,
,561CH20-A,,
,561CH21-A,,
,561CH22-A,,
,561CH23-A,,
,561CH24-A,,
,561CH25-A,,
,561CH26-A,,
,561CH27-A,,
,561CH28-A,,
,561CH29-A,,
,561CH30-A,,
,561CH31-A,,
,561CH32-A,,
,561CH33-A,,
,561CH34-A,,
,561CH35-A,,
,637CH17-A,,
,637CH18-A,,
,637CH19-A,,
,637CH20-A,,
,637CH21-A,,
,637CH22-A,,
,637CH23-A,,
,637CH24-A,,
,637CH25-A,,
,637CH26-A,,
,637CH27-A,,
,637CH28-A,,
,637CH29-A,,
,637CH30-A,,
,637CH31-A,,
,637CH32-A,,
,637CH33-A,,
,637CH34-A,,
,637CH35-A,,
